player,runs_scored,balls_faced_total,fours,sixes,balls_faced_legal,matches_played,innings_batted,dismissals,not_outs,batting_average,strike_rate,boundary_runs,boundary_percentage,dot_balls_x,dot_ball_percentage_x,highest_score,fifties,hundreds,runs_conceded,balls_bowled_total,wickets,balls_bowled_legal,matches_bowled,innings_bowled,overs_bowled,bowling_average,bowling_strike_rate,economy_rate,maidens,dot_balls_y,dot_ball_percentage_y,fours_conceded,sixes_conceded,no_balls,wides,best_bowling_wickets,best_bowling_runs,catches,stumpings,run_outs,total_fielding,image_id,image_url
M Muralitharan,20,30,1,0,30,9,9,6,3,3.333333333,66.66666667,4,20,17,56.66666667,6,0,0,1765,1581,67,1530,66,66,255,26.34328358,22.8358209,6.921568627,1,600,39.21568627,105,67,0,51,4,0,14,0,3,17,,
M Ntini,11,19,2,0,18,2,2,1,1,11,61.11111111,8,72.72727273,14,77.77777778,11,0,0,257,213,8,212,9,9,35.2,32.125,26.5,7.273584906,1,99,46.69811321,29,8,0,1,4,0,1,0,2,3,320380,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320380.png"
M Pathirana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,503,38,452,20,20,75.2,16.23684211,11.89473684,8.190265487,1,160,35.39823009,47,14,0,51,4,0,6,0,0,6,355402,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/355400/355402.png"
M Prasidh Krishna,9,24,0,0,24,7,7,2,5,4.5,37.5,0,0,15,62.5,4,0,0,1741,1231,54,1168,51,51,194.4,32.24074074,21.62962963,8.943493151,3,475,40.66780822,197,56,0,63,5,0,9,0,1,10,,
M Rawat,55,70,4,1,69,11,11,5,6,11,79.71014493,22,40,33,47.82608696,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,3,21,,
M Shahrukh Khan,553,413,35,37,391,37,37,25,12,22.12,141.4322251,362,65.46112116,148,37.8516624,58,1,0,16,12,0,12,2,2,2,0,0,8,0,3,25,0,1,0,0,0,0,20,0,1,21,359756,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/359700/359756.png"
M Siddharth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,58,1,57,3,3,9.3,72,57,7.578947368,0,22,38.59649123,6,2,0,1,1,0,0,0,0,0,331042,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331000/331042.png"
M Theekshana,7,7,0,1,7,2,2,1,1,7,100,6,85.71428571,5,71.42857143,7,0,0,814,631,25,624,27,27,104,32.56,24.96,7.826923077,1,190,30.44871795,55,31,0,7,4,0,4,0,0,4,347825,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/347800/347825.png"
M Vijay,2619,2208,247,91,2150,105,105,93,12,28.16129032,121.8139535,1534,58.57197404,929,43.20930233,127,13,2,49,37,0,36,4,4,6,0,0,8.166666667,0,8,22.22222222,6,0,0,1,0,0,48,0,1,49,322623,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322623.png"
M Vohra,1083,863,104,43,829,51,51,47,4,23.04255319,130.6393245,674,62.2345337,359,43.30518697,95,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,14,,
M de Lange,1,2,0,0,2,1,1,1,0,1,50,0,0,1,50,1,0,0,171,116,6,110,5,5,18.2,28.5,18.33333333,9.327272727,1,39,35.45454545,21,4,0,6,3,0,0,0,0,0,322095,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322095.png"
MA Agarwal,2669,2081,265,98,2002,121,121,114,7,23.4122807,133.3166833,1648,61.74597227,754,37.66233766,106,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,2,61,,
